,testetst_Image8_edited__Bioformats,testetst_Image8_edited__PredictorSimple,testetst_Image8_edited__PredictorNetwork,testetst_Image8_edited__PredictorSimpleAnnotation,testetst_Image8_edited__PredictorNetworkAnnotation
Images/0/Image/Pixelss/0/Pixels/Channels/1/Channel/ID = Channel:0:1,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/11/XMLAnnotation/Value/OriginalMetadata/Key = XResolution,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/15/XMLAnnotation/Value/OriginalMetadata/Key = ImageLength,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/14/XMLAnnotation/Value/OriginalMetadata/Value = 8,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/15/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/6/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/5/XMLAnnotation/Value/OriginalMetadata/Value = Centimeter,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/PhysicalSizeYUnit = µm,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/10/XMLAnnotation/Value/OriginalMetadata/Value = 100777.212,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/12/XMLAnnotation/Value/OriginalMetadata/Key = MetaMorph,True,False,False,False,False
Images/1/Image/Name = testetst_Image8_edited_.ome.tif,False,True,True,True,True
Images/1/Image/Pixelss/0/Pixels/ID = Pixels:0,False,True,True,True,True
Images/0/Image/Pixelss/0/Pixels/SizeT = 30,True,True,True,True,True
Images/1/Image/Pixelss/0/Pixels/Channels/1/Channel/ID = Channel:0:1,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/9/XMLAnnotation/ID = Annotation:9,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/Type = uint8,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/9/XMLAnnotation/Value/OriginalMetadata/Key = Compression,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/Channels/0/Channel/ID = Channel:0:0,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/4/XMLAnnotation/Value/OriginalMetadata/Key = NumberOfChannels,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/SizeY = 280,False,False,False,True,True
Images/3/Image/Pixelss/0/Pixels/SizeT = 30,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/Interleaved = false,False,False,False,True,True
Images/1/Image/Pixelss/0/Pixels/PhysicalSizeX = 0.09922878199885109,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/10/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/DimensionOrder = XYCZT,False,True,True,True,True
Images/1/Image/Pixelss/0/Pixels/PhysicalSizeY = 0.09922878199885109,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/14/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/Interleaved = false,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/5/XMLAnnotation/Value/OriginalMetadata/Key = ResolutionUnit,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/Channels/0/Channel/SamplesPerPixel = 1,False,True,True,True,True
Images/2/Image/Name = testetst_Image8_edited_.ome.tif,False,False,False,True,True
Images/0/Image/Pixelss/0/Pixels/SizeZ = 1,True,True,True,True,True
Images/1/Image/Pixelss/0/Pixels/SizeC = 3,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/13/XMLAnnotation/ID = Annotation:13,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/ID = Pixels:0,False,False,False,False,True
Images/3/Image/Pixelss/0/Pixels/SizeY = 280,False,False,False,False,True
Images/3/Image/Pixelss/0/Pixels/SignificantBits = 8,False,False,False,False,True
