,method,n_paths,n_annotations,edit_distance,name,file_name,format,cost,time,index,attempts,og_n_paths,og_image_format,edit_distance_no_annot,edit_distance_only_annot
2021_10_27_FRET_T001_Fret_Turquoise_Bioformats_0,Bioformats,2077,2061,0.0,2021_10_27_FRET_T001_Fret_Turquoise_Bioformats_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,,0.7159442901611328,0,1.0,2077,tif,0.0,0.0
2021_10_27_FRET_T001_Fret_Turquoise_PredictorSimple_0,predictor_simple,0,0,1.0,2021_10_27_FRET_T001_Fret_Turquoise_PredictorSimple_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,0.27066,106.20183563232422,0,3.0,2077,tif,1.0,1.0
2021_10_27_FRET_T001_Fret_Turquoise_PredictorNetwork_0,predictor_network,0,0,1.0,2021_10_27_FRET_T001_Fret_Turquoise_PredictorNetwork_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,0.24625500000000003,118.77949023246765,0,3.0,2077,tif,1.0,1.0
2021_10_27_FRET_T001_Fret_Turquoise_PredictorSimpleAnnotation_0,predictor_simple_annotation,0,0,1.0,2021_10_27_FRET_T001_Fret_Turquoise_PredictorSimpleAnnotation_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,0.26934,83.60422396659851,0,3.0,2077,tif,1.0,1.0
2021_10_27_FRET_T001_Fret_Turquoise_PredictorNetworkAnnotation_0,predictor_network_annotation,0,0,1.0,2021_10_27_FRET_T001_Fret_Turquoise_PredictorNetworkAnnotation_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,0.20490000000000003,155.66034030914307,0,3.0,2077,tif,1.0,1.0
2021_10_27_FRET_T001_Fret_Turquoise_PredictorState_0,predictor_state,0,0,1.0,2021_10_27_FRET_T001_Fret_Turquoise_PredictorState_0,2021_10_27_FRET_T001_Fret_Turquoise,tif,0.5712750000000001,119.5327217578888,0,3.0,2077,tif,1.0,1.0
Baf_100x_7M_SIM_Bioformats_0,Bioformats,1847,1611,0.0,Baf_100x_7M_SIM_Bioformats_0,Baf_100x_7M_SIM,czi,,0.16977977752685547,0,1.0,1847,czi,0.0,0.0
Baf_100x_7M_SIM_PredictorSimple_0,predictor_simple,0,0,1.0,Baf_100x_7M_SIM_PredictorSimple_0,Baf_100x_7M_SIM,czi,0.398685,118.8110203742981,0,3.0,1847,czi,1.0,1.0
Baf_100x_7M_SIM_PredictorNetwork_0,predictor_network,0,0,1.0,Baf_100x_7M_SIM_PredictorNetwork_0,Baf_100x_7M_SIM,czi,0.394185,118.09006476402283,0,3.0,1847,czi,1.0,1.0
Baf_100x_7M_SIM_PredictorSimpleAnnotation_0,predictor_simple_annotation,0,0,1.0,Baf_100x_7M_SIM_PredictorSimpleAnnotation_0,Baf_100x_7M_SIM,czi,0.45616500000000004,84.81884479522705,0,3.0,1847,czi,1.0,1.0
Baf_100x_7M_SIM_PredictorNetworkAnnotation_0,predictor_network_annotation,0,0,1.0,Baf_100x_7M_SIM_PredictorNetworkAnnotation_0,Baf_100x_7M_SIM,czi,0.394185,119.37155961990356,0,3.0,1847,czi,1.0,1.0
Baf_100x_7M_SIM_PredictorState_0,predictor_state,0,0,1.0,Baf_100x_7M_SIM_PredictorState_0,Baf_100x_7M_SIM,czi,0.7590000000000001,78.40696120262146,0,3.0,1847,czi,1.0,1.0
Fish_3_20x_Bioformats_0,Bioformats,3078,2268,0.0,Fish_3_20x_Bioformats_0,Fish_3_20x,czi,,0.16212081909179688,0,1.0,3078,czi,0.0,0.0
Fish_3_20x_PredictorSimple_0,predictor_simple,0,0,1.0,Fish_3_20x_PredictorSimple_0,Fish_3_20x,czi,0.5077050000000001,115.07912492752075,0,3.0,3078,czi,1.0,1.0
Fish_3_20x_PredictorNetwork_0,predictor_network,0,0,1.0,Fish_3_20x_PredictorNetwork_0,Fish_3_20x,czi,0.44151,119.55236744880676,0,3.0,3078,czi,1.0,1.0
Fish_3_20x_PredictorSimpleAnnotation_0,predictor_simple_annotation,0,0,1.0,Fish_3_20x_PredictorSimpleAnnotation_0,Fish_3_20x,czi,0.5052000000000001,84.59998774528503,0,3.0,3078,czi,1.0,1.0
Fish_3_20x_PredictorNetworkAnnotation_0,predictor_network_annotation,894,84,0.6492368894159048,Fish_3_20x_PredictorNetworkAnnotation_0,Fish_3_20x,czi,0.15250500000000003,25.05270266532898,0,1.0,3078,czi,0.0,0.9838849921743668
Fish_3_20x_PredictorState_0,predictor_state,0,0,1.0,Fish_3_20x_PredictorState_0,Fish_3_20x,czi,0.848925,116.73260021209717,0,3.0,3078,czi,1.0,1.0
testetst_Image8_edited_.ome_Bioformats_0,Bioformats,164,144,0.0,testetst_Image8_edited_.ome_Bioformats_0,testetst_Image8_edited_.ome,tif,,0.07739901542663574,0,1.0,164,tif,0.0,0.0
testetst_Image8_edited_.ome_PredictorSimple_0,predictor_simple,131,112,0.35044330377974797,testetst_Image8_edited_.ome_PredictorSimple_0,testetst_Image8_edited_.ome,tif,0.025400000000000002,29.357311487197876,0,1.0,164,tif,0.054545454545454564,0.39442658092175775
testetst_Image8_edited_.ome_PredictorNetwork_0,predictor_network,122,122,0.7215799614643545,testetst_Image8_edited_.ome_PredictorNetwork_0,testetst_Image8_edited_.ome,tif,0.11737,120.55594563484192,0,1.6666666666666667,164,tif,1.0,0.7017089590885551
testetst_Image8_edited_.ome_PredictorSimpleAnnotation_0,predictor_simple_annotation,934,914,0.9221306277742549,testetst_Image8_edited_.ome_PredictorSimpleAnnotation_0,testetst_Image8_edited_.ome,tif,0.022505,11.815361499786377,0,1.0,164,tif,0.0,0.9563215366399158
testetst_Image8_edited_.ome_PredictorNetworkAnnotation_0,predictor_network_annotation,150,130,0.6190057193136824,testetst_Image8_edited_.ome_PredictorNetworkAnnotation_0,testetst_Image8_edited_.ome,tif,0.02806,35.4844696521759,0,1.0,164,tif,0.0,0.706385118149824
testetst_Image8_edited_.ome_PredictorState_0,predictor_state,0,0,1.0,testetst_Image8_edited_.ome_PredictorState_0,testetst_Image8_edited_.ome,tif,0.37035,56.35293984413147,0,3.0,164,tif,1.0,1.0
